filename,wavenumber,wavenumber_calibrated,sum_withoutIR,sum_withIR,depletion,-ln(depletion),yield_IR
fullrange_depletion_data_C8H6Br0(0)_1880-659,1173.0,1144.9970999999998,0.0940977148711681,0.1063502738252282,1.119012315906838,-0.1128883027336209,6.790961528382865e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1175.0,1146.9146999999998,0.0969743570312857,0.1145273298025131,1.0692876520363328,-0.0618444472631818,3.740337926451025e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1177.0,1148.8322999999998,0.0928117465227842,0.1018673474900424,1.1166588120642311,-0.1025926521757877,6.237942295431699e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1179.0,1150.7498999999998,0.1028167279437184,0.0859503122046589,1.0312638407560175,-0.0118661267356615,7.253307711537043e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,1181.0,1152.6674999999998,0.0794043513014912,0.1017576437443494,1.0103795415410342,0.0103386539636834,-6.3530180912464015e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,1183.0,1154.5850999999998,0.1002908386290073,0.0821733437478542,0.9999003021207964,0.0183869942452389,-1.135802046905511e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1185.0,1156.5026999999998,0.0920468214899301,0.1017252514138817,1.0458370330261617,-0.0341557592843779,2.120891253680289e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1187.0,1158.4202999999998,0.125029282644391,0.1206903336569666,1.0103155674646074,-0.0068275661244811,4.261569271609108e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,1189.0,1160.3378999999998,0.0879188831895589,0.0996174048632383,1.0553247653211677,-0.0543779583631409,3.411632488006794e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1193.0,1164.1731,0.1546826679259538,0.1587923290207982,1.0259822837742485,-0.0241553261849642,1.531026920909395e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1197.0,1168.0083,0.0929718306288123,0.0903883343562483,1.1075132144031263,-0.1008422127076204,6.456360013981904e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1201.0,1171.8435,0.1411927305161953,0.1633718255907297,1.0974204239421526,-0.0893148658050677,5.7754875199378806e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1203.0,1173.7611,0.0902123339474201,0.1095553282648325,1.0555645348003393,-0.0408284572417301,2.653178175712554e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1205.0,1175.6787,0.1368867680430412,0.1205600695684552,0.9928910754663904,0.0225226572309626,-1.4707787538904944e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1207.0,1177.5963,0.0986288702115416,0.0803478872403502,0.9096417697754208,0.099303464508285,-6.516314351058812e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1211.0,1181.4315,0.1216879077255725,0.1136795189231634,0.8349012561026612,0.1760906875807188,-0.00011666762352416253
fullrange_depletion_data_C8H6Br0(0)_1880-659,1215.0,1185.2667,0.0916926283389329,0.0833564652130007,0.9016568466821624,0.1001558207100134,-6.698968184884219e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1217.0,1187.1843,0.1063063107430934,0.0821698931977152,0.8665893211064998,0.1516870713348687,-0.00010193350956396432
fullrange_depletion_data_C8H6Br0(0)_1880-659,1219.0,1189.1019,0.1088454723358154,0.1023702342063188,0.7610971062450462,0.292714732608836,-0.0001976217643749464
fullrange_depletion_data_C8H6Br0(0)_1880-659,1223.0,1192.9370999999999,0.0984023381024599,0.0578450541943311,0.7190541145395062,0.3454852246960702,-0.00023540634293779225
fullrange_depletion_data_C8H6Br0(0)_1880-659,1225.0,1194.8546999999999,0.117083853110671,0.0729826274327933,0.6717535616620564,0.4125715229192417,-0.00028239985813617287
fullrange_depletion_data_C8H6Br0(0)_1880-659,1227.0,1196.7722999999999,0.0759176816791296,0.0567179359495639,0.6032703853474644,0.5012539350996402,-0.0003446547929809821
fullrange_depletion_data_C8H6Br0(0)_1880-659,1229.0,1198.6898999999999,0.0983790718019008,0.0560672581195831,0.6493595631016137,0.4374803517551046,-0.0003021558861941752
fullrange_depletion_data_C8H6Br0(0)_1880-659,1231.0,1200.6074999999998,0.090137206017971,0.0564044052734971,0.6357954886369679,0.4466436489492683,-0.00030985909491786215
fullrange_depletion_data_C8H6Br0(0)_1880-659,1233.0,1202.5250999999998,0.0910519240424037,0.0673911622725427,0.7175210557526919,0.3487924159591195,-0.0002430441769175968
fullrange_depletion_data_C8H6Br0(0)_1880-659,1235.0,1204.4426999999998,0.1061353720724582,0.0798521842807531,0.8614845460434204,0.1610568070440797,-0.00011271892095487635
fullrange_depletion_data_C8H6Br0(0)_1880-659,1237.0,1206.3602999999998,0.0907656773924827,0.0971480384469032,0.8838986048639492,0.1313129328798249,-9.230158638261347e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1241.0,1210.1954999999998,0.0898806136101484,0.0812639016658067,0.8828141408577591,0.1291630608065906,-9.157157559692428e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1243.0,1212.1130999999998,0.1375565696507692,0.1023390451446175,0.980409323418334,0.035400386188234,-2.520385600404434e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1247.0,1215.9482999999998,0.0868870560079813,0.0899340603500604,0.9955038446080616,0.0258510649895588,-1.8559357097551805e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1249.0,1217.8658999999998,0.0802752543240785,0.1026561427861452,1.047147572937951,-0.0301213275495686,2.1714375211112786e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1251.0,1219.7834999999998,0.1299272775650024,0.1167450621724128,1.0176903816568532,-0.0046374271464317,3.356780797654027e-06
